DATE,CONTENTS
2017-01-10,스킨을 샀는데 포장이 지저분합니다 교환해주세요.
2017-01-11,화장품 세트를 샀는데 상자에 화장품이 흘러나왔어요 환불해주세요.
2017-01-12,이어폰 정품이 아닌가봐요 금방 고장났어요 환불해주세요.
2017-01-13,정품이 아닌것 같아요  환불해주세요.
2017-01-14,양복을 샀는데 안 주머니가 찢어져 있습니다 기분이 별로네요 환불해주세요.
2017-01-15,노트북을 샀는데 전원이 들어오지 않습니다  정말 기분 안좋네요 환불해주세요.
2017-01-16,이어폰 한쪽이 안들림 첨에왔을때도 오른쪽이 조금지직거리더니 당장급해서 참았건만 다음날 아에 안들림 내가 함부로다룬것도아니여서 너무화남 환불해주세요.
2017-01-17,선물하려고 했는데 포장이 다 찢어져 왔어요 기분이 영 아니네요 환불해주세요.
2017-01-18,큰맘먹고 지갑을 샀는데 안에 가죽이 기스가 많이 나있네요 기분이 아주 나쁩니다  환불해주세요.
2017-01-19,구두를 샀는데 흙이 묻어 있습니다 정말 이곳 문제 있는거 아닌가요 환불해주세요.
2017-01-20,선물하려고 했는데 너무 지저분하게 포장이 되어서 왔네요 기분이 영 아니네요 환불해주세요.
